rank,name,panel,bucket,in_collectible_base,net_worth_usd,net_worth_usd_7pct,trre_usd,wealth_in_tax_base_usd,wealth_in_tax_base_usd_7pct,face_tax_5pct,source_of_wealth,forbes_asset_class,public_wealth,private_other_wealth,other_real_estate,base_treatment,removal_reason
88,Jack Clark,domestic,stayer_base,True,3700000000.0,3959000000.0,23533321.0,3676466679.0,3933819346.53,196690967.32650003,Anthropic (private AI),VCPE,,,23533321.0,in_base,
89,Sam McCandlish,domestic,stayer_base,True,3700000000.0,3959000000.0,4831145.0,3695168855.0,3953830674.85,197691533.7425,Anthropic (private AI),VCPE,,,4831145.0,in_base,
90,Daniela Amodei,domestic,stayer_base,True,3700000000.0,3959000000.0,23533321.0,3676466679.0,3933819346.53,196690967.32650003,Anthropic (private AI),VCPE,,,23533321.0,in_base,
91,Marco DeGeorge,domestic,stayer_base,True,3600000000.0,3852000000.0,12982483.0,3587017517.0,3838108743.19,191905437.1595,Unknown/unclear,OTHER,,,12982483.0,in_base,
92,Kavitark Ram Shriram,domestic,stayer_base,True,3600000000.0,3852000000.0,22897286.0,3577102714.0,3827499903.98,191374995.199,Google early investor (GOOGL shares),PUBLIC,,,22897286.0,in_base,
93,Hemant Taneja,domestic,stayer_base,True,3600000000.0,3852000000.0,13784748.0,3586215252.0,3837250319.64,191862515.982,General Catalyst (VC),VCPE,,,13784748.0,in_base,
94,Richard Peery,domestic,stayer_base,True,3500000000.0,3745000000.0,22261250.0,3477738750.0,3721180462.5,186059023.125,Private real estate investment,VCPE,,,22261250.0,in_base,
95,Brian Acton,domestic,stayer_base,True,3500000000.0,3745000000.0,86000000.0,3414000000.0,3652980000.0,182649000.0,"WhatsApp exit proceeds, diversified",OTHER,,,86000000.0,in_base,
96,Travis Kalanick,domestic,removed_departed,False,3500000000.0,3745000000.0,43300000.0,3456700000.0,3698669000.0,184933450.0,CloudKitchens (private),VCPE,,,43300000.0,moving_pre_snapshot,Confirmed departure between the Oct 2025 filing and the Jan 1 2026 residency snapshot (Section 4.3)
97,Palmer Luckey,domestic,ambiguous,True,3500000000.0,3745000000.0,12500000.0,3487500000.0,3731625000.0,186581250.0,Anduril Industries (private defense),VCPE,,,12500000.0,in_base,Departure signals that do not meet the threshold for confirmed departure; remains in the recognized base at q = 0.50 (Section 4.4)
98,Parker Conrad,domestic,stayer_base,True,3400000000.0,3638000000.0,21625214.0,3378374786.0,3614861021.02,180743051.051,Rippling (private HR software),VCPE,,,21625214.0,in_base,
99,Frank Slootman,domestic,removed_prefiling,False,3300000000.0,3531000000.0,10243300.0,3289756700.0,3520039669.0,176001983.45000002,Snowflake (SNOW),PUBLIC,,,10243300.0,removed_pre_filing,Departed California before the Oct 15 2025 initiative filing (Section 3.3)
100,George Argyros,domestic,stayer_base,True,3200000000.0,3424000000.0,42000000.0,3158000000.0,3379060000.0,168953000.0,Arnel Group (private RE/PE),VCPE,,,42000000.0,in_base,
101,Jay Paul,domestic,stayer_base,True,3200000000.0,3424000000.0,28250000.0,3171750000.0,3393772500.0,169688625.0,Private real estate development,VCPE,,,28250000.0,in_base,
102,Vasily Shikin,domestic,stayer_base,True,3200000000.0,3424000000.0,20353143.0,3179646857.0,3402222136.99,170111106.8495,Unknown/unclear,OTHER,,,20353143.0,in_base,
103,Haim Saban,domestic,stayer_base,True,3200000000.0,3424000000.0,57500000.0,3142500000.0,3362475000.0,168123750.0,"Entertainment/media, diversified",OTHER,,,57500000.0,in_base,
104,Alexandr Wang,domestic,stayer_base,True,3200000000.0,3424000000.0,20353143.0,3179646857.0,3402222136.99,170111106.8495,Scale AI (private),VCPE,,,20353143.0,in_base,
105,Jeff Rothschild,domestic,stayer_base,True,3200000000.0,3424000000.0,20353143.0,3179646857.0,3402222136.99,170111106.8495,Meta (META) early exec shares,PUBLIC,,,20353143.0,in_base,
106,William Chisholm,domestic,stayer_base,True,3100000000.0,3317000000.0,15563106.0,3084436894.0,3300347476.58,165017373.829,Unknown/unclear,OTHER,,,15563106.0,in_base,
107,Oprah Winfrey,domestic,stayer_base,True,3100000000.0,3317000000.0,150000000.0,2950000000.0,3156500000.0,157825000.0,"Entertainment, diversified",OTHER,,,150000000.0,in_base,
108,Jerry Yang,domestic,stayer_base,True,3000000000.0,3210000000.0,19081071.0,2980918929.0,3189583254.03,159479162.70150003,"Yahoo exit, diversified",OTHER,,,19081071.0,in_base,
109,Sean Parker,domestic,stayer_base,True,3000000000.0,3210000000.0,55000000.0,2945000000.0,3151150000.0,157557500.0,Meta (META) early shares + other,PUBLIC,,,55000000.0,in_base,
110,Nicolas Berggruen,domestic,stayer_base,True,2900000000.0,3103000000.0,63100000.0,2836900000.0,3035483000.0,151774150.0,"Berggruen Holdings, diversified",OTHER,,,63100000.0,in_base,
111,Aneel Bhusri,domestic,stayer_base,True,2900000000.0,3103000000.0,12072842.0,2887927158.0,3090082059.06,154504102.953,Workday (WDAY),PUBLIC,,,12072842.0,in_base,
112,Tim Draper,domestic,stayer_base,True,2800000000.0,2996000000.0,17197000.0,2782803000.0,2977599210.0,148879960.5,Draper Fisher Jurvetson (VC),VCPE,,,17197000.0,in_base,
113,Daniel Pritzker,domestic,stayer_base,True,2800000000.0,2996000000.0,17809000.0,2782191000.0,2976944370.0,148847218.5,"Pritzker family, diversified",OTHER,,,17809000.0,in_base,
114,Jed McCaleb,domestic,stayer_base,True,2800000000.0,2996000000.0,17809000.0,2782191000.0,2976944370.0,148847218.5,Stellar/XRP crypto,OTHER,,,17809000.0,in_base,
115,Fred Ehrsam,domestic,stayer_base,True,2800000000.0,2996000000.0,17809000.0,2782191000.0,2976944370.0,148847218.5,Paradigm (crypto VC fund),VCPE,,,17809000.0,in_base,
116,Tony Xu,domestic,stayer_base,True,2700000000.0,2889000000.0,17172964.0,2682827036.0,2870624928.52,143531246.426,DoorDash (DASH),PUBLIC,,,17172964.0,in_base,
117,John Pritzker,domestic,stayer_base,True,2600000000.0,2782000000.0,16536929.0,2583463071.0,2764305485.97,138215274.2985,"Pritzker family, diversified",OTHER,,,16536929.0,in_base,
118,George Joseph,domestic,stayer_base,True,2600000000.0,2782000000.0,17143216.0,2582856784.0,2763656758.88,138182837.944,Mercury Insurance (MCY),PUBLIC,,,17143216.0,in_base,
119,Jeff T. Green,domestic,stayer_base,True,2600000000.0,2782000000.0,12300000.0,2587700000.0,2768839000.0,138441950.0,The Trade Desk (TTD),PUBLIC,,,12300000.0,in_base,
120,Tim Cook,domestic,stayer_base,True,2600000000.0,2782000000.0,10000000.0,2590000000.0,2771300000.0,138565000.0,Apple (AAPL) executive shares,PUBLIC,,,10000000.0,in_base,
121,Anthony Wood,domestic,stayer_base,True,2500000000.0,2675000000.0,15900893.0,2484099107.0,2657986044.49,132899302.2245,Roku (ROKU),PUBLIC,,,15900893.0,in_base,
122,Evan Spiegel,domestic,stayer_base,True,2500000000.0,2675000000.0,120000000.0,2380000000.0,2546600000.0,127330000.0,Snap Inc. (SNAP),PUBLIC,,,120000000.0,in_base,
123,Barbara Banke,domestic,stayer_base,True,2500000000.0,2675000000.0,15900893.0,2484099107.0,2657986044.49,132899302.2245,Jackson Family Wines (private),VCPE,,,15900893.0,in_base,
124,Herald Chen,domestic,stayer_base,True,2400000000.0,2568000000.0,11668997.0,2388331003.0,2555514173.21,127775708.6605,KKR partner (PE carry/co-investments),VCPE,,,11668997.0,in_base,
125,Reid Hoffman,domestic,ambiguous,True,2400000000.0,2568000000.0,15264857.0,2384735143.0,2551666603.01,127583330.15050001,LinkedIn exit (MSFT) + Greylock VC,OTHER,,,15264857.0,in_base,Departure signals that do not meet the threshold for confirmed departure; remains in the recognized base at q = 0.50 (Section 4.4)
126,Jeff Tangney,domestic,stayer_base,True,2400000000.0,2568000000.0,13339211.0,2386660789.0,2553727044.23,127686352.2115,Doximity (DOCS),PUBLIC,,,13339211.0,in_base,
127,Bennett Rosenthal,domestic,stayer_base,True,2300000000.0,2461000000.0,8683316.0,2291316684.0,2451708851.88,122585442.59400001,Ares Management (ARES),PUBLIC,,,8683316.0,in_base,
128,Bruce Karsh,domestic,stayer_base,True,2300000000.0,2461000000.0,68820000.0,2231180000.0,2387362600.0,119368130.0,Oaktree Capital (OAK/Brookfield),PUBLIC,,,68820000.0,in_base,
129,Sheryl Sandberg,domestic,stayer_base,True,2300000000.0,2461000000.0,11000000.0,2289000000.0,2449230000.0,122461500.0,Meta Platforms (META) executive,PUBLIC,,,11000000.0,in_base,
130,Joe Lacob,domestic,stayer_base,True,2300000000.0,2461000000.0,19800000.0,2280200000.0,2439814000.0,121990700.0,Golden State Warriors + KPCB VC,OTHER,,,19800000.0,in_base,
131,Kevin Systrom,domestic,stayer_base,True,2300000000.0,2461000000.0,14628821.0,2285371179.0,2445347161.53,122267358.07650001,Instagram exit -> Meta (META) shares,PUBLIC,,,14628821.0,in_base,
132,Kenneth Hao,domestic,stayer_base,True,2300000000.0,2461000000.0,9411000.0,2290589000.0,2450930230.0,122546511.5,Silver Lake (private PE),VCPE,,,9411000.0,in_base,
133,David Kaplan,domestic,stayer_base,True,2200000000.0,2354000000.0,13992786.0,2186007214.0,2339027718.98,116951385.949,Ares Management (ARES),PUBLIC,,,13992786.0,in_base,
134,Egon Durban,domestic,stayer_base,True,2200000000.0,2354000000.0,13992786.0,2186007214.0,2339027718.98,116951385.949,Silver Lake (private PE),VCPE,,,13992786.0,in_base,
